PC_Timestamp_ms,PC_DateTime,Arduino_millis,Signal_Value,Package_Num,HR
1764803090673,2025-12-03 18:04:50.673,18205,503,0,0
1764803090677,2025-12-03 18:04:50.677,18229,523,0,0
1764803090691,2025-12-03 18:04:50.691,18248,527,0,0
1764803090701,2025-12-03 18:04:50.701,18269,516,0,0
1764803090730,2025-12-03 18:04:50.730,18289,503,0,0
1764803090739,2025-12-03 18:04:50.739,18310,491,0,0
1764803090754,2025-12-03 18:04:50.754,18329,484,0,0
1764803090783,2025-12-03 18:04:50.783,18350,479,0,0
1764803090797,2025-12-03 18:04:50.797,18369,474,0,0
1764803090829,2025-12-03 18:04:50.829,18390,466,0,0
1764803090838,2025-12-03 18:04:50.838,18409,458,0,0
1764803090855,2025-12-03 18:04:50.855,18429,452,0,0
1764803090886,2025-12-03 18:04:50.886,18449,452,0,0
1764803090901,2025-12-03 18:04:50.901,18469,446,0,0
1764803090909,2025-12-03 18:04:50.909,18489,439,0,0
1764803090940,2025-12-03 18:04:50.940,18509,431,0,0
1764803090948,2025-12-03 18:04:50.948,18529,424,0,0
1764803090954,2025-12-03 18:04:50.954,18549,419,0,0
1764803090967,2025-12-03 18:04:50.967,18570,417,0,0
1764803090994,2025-12-03 18:04:50.994,18589,420,0,0
1764803091001,2025-12-03 18:04:51.001,18610,428,0,0
1764803091012,2025-12-03 18:04:51.012,18629,445,0,0
1764803091042,2025-12-03 18:04:51.042,18650,464,0,0
1764803091053,2025-12-03 18:04:51.053,18669,503,0,0
1764803091063,2025-12-03 18:04:51.063,18690,560,0,0
1764803091071,2025-12-03 18:04:51.071,18709,624,0,0
1764803091102,2025-12-03 18:04:51.102,18729,685,0,0
1764803091114,2025-12-03 18:04:51.114,18749,712,0,0
1764803091122,2025-12-03 18:04:51.122,18769,701,0,0
1764803091150,2025-12-03 18:04:51.150,18789,672,0,0
1764803091158,2025-12-03 18:04:51.158,18809,626,0,0
1764803091166,2025-12-03 18:04:51.166,18830,580,0,0
1764803091175,2025-12-03 18:04:51.175,18849,554,0,0
1764803091204,2025-12-03 18:04:51.204,18870,512,0,0
1764803091221,2025-12-03 18:04:51.221,18889,483,0,0
1764803091248,2025-12-03 18:04:51.248,18910,469,0,0
1764803091256,2025-12-03 18:04:51.256,18929,464,0,0
1764803091265,2025-12-03 18:04:51.265,18950,473,0,0
1764803091282,2025-12-03 18:04:51.282,18969,486,0,0
1764803091317,2025-12-03 18:04:51.317,18990,494,0,0
1764803091330,2025-12-03 18:04:51.330,19009,500,0,0
1764803091358,2025-12-03 18:04:51.358,19030,500,0,0
1764803091368,2025-12-03 18:04:51.368,19049,499,0,0
1764803091379,2025-12-03 18:04:51.379,19069,495,0,0
1764803091404,2025-12-03 18:04:51.404,19090,487,0,0
1764803091413,2025-12-03 18:04:51.413,19109,478,0,0
1764803091422,2025-12-03 18:04:51.422,19130,475,0,0
1764803091433,2025-12-03 18:04:51.433,19149,466,0,0
1764803091461,2025-12-03 18:04:51.461,19170,457,0,0
1764803091470,2025-12-03 18:04:51.470,19189,449,0,0
1764803091499,2025-12-03 18:04:51.499,19210,443,1,0
1764803091510,2025-12-03 18:04:51.510,19229,438,1,0
1764803091520,2025-12-03 18:04:51.520,19250,433,1,0
1764803091532,2025-12-03 18:04:51.532,19269,427,1,0
1764803091560,2025-12-03 18:04:51.560,19290,417,1,0
1764803091568,2025-12-03 18:04:51.568,19310,409,1,0
1764803091579,2025-12-03 18:04:51.579,19330,391,1,0
1764803091606,2025-12-03 18:04:51.606,19350,373,1,0
1764803091615,2025-12-03 18:04:51.615,19369,363,1,0
1764803091624,2025-12-03 18:04:51.624,19390,369,1,0
1764803091633,2025-12-03 18:04:51.633,19409,402,1,0
1764803091661,2025-12-03 18:04:51.661,19430,473,1,0
1764803091673,2025-12-03 18:04:51.673,19449,571,1,78
1764803091681,2025-12-03 18:04:51.681,19470,668,1,0
1764803091710,2025-12-03 18:04:51.710,19489,758,1,0
1764803091720,2025-12-03 18:04:51.720,19510,790,1,0
1764803091735,2025-12-03 18:04:51.735,19529,779,1,0
1764803091761,2025-12-03 18:04:51.761,19550,736,1,0
1764803091770,2025-12-03 18:04:51.770,19570,679,1,0
1764803091779,2025-12-03 18:04:51.779,19590,620,1,0
1764803091791,2025-12-03 18:04:51.791,19610,569,1,0
1764803091818,2025-12-03 18:04:51.818,19630,539,1,0
1764803091826,2025-12-03 18:04:51.826,19650,508,1,0
1764803091835,2025-12-03 18:04:51.835,19670,484,1,0
1764803091844,2025-12-03 18:04:51.844,19690,480,1,0
1764803091871,2025-12-03 18:04:51.871,19709,491,1,0
1764803091879,2025-12-03 18:04:51.879,19730,508,1,0
1764803091888,2025-12-03 18:04:51.888,19749,520,1,0
1764803091913,2025-12-03 18:04:51.913,19770,524,1,0
1764803091925,2025-12-03 18:04:51.925,19789,518,1,0
1764803091935,2025-12-03 18:04:51.935,19810,506,1,0
1764803091946,2025-12-03 18:04:51.946,19830,499,1,0
1764803091972,2025-12-03 18:04:51.972,19850,486,1,0
