frame,time,ROI,BVP,BPM
1,50.0,lower medial forehead,0.03172098163188085,136.23046875
1,50.0,left lower lateral forehead,0.04073282896964903,58.59375
1,50.0,right lower lateral forehead,-0.18254085255114919,57.12890625
1,50.0,glabella,0.01344189049375823,55.6640625
1,50.0,upper nasal dorsum,0.07598130608633052,92.28515625
1,50.0,lower nasal dorsum,-0.14805647702970268,55.6640625
1,50.0,soft triangle,-0.07813220829448228,61.5234375
1,50.0,left ala,0.20531740637365806,57.12890625
1,50.0,right ala,-0.08408300177473879,193.359375
1,50.0,nasal tip,-0.12294935423200525,62.98828125
1,50.0,left lower nasal sidewall,0.0647460467130842,175.78125
1,50.0,right lower nasal sidewall,-0.30048043958269555,82.03125
1,50.0,left mid nasal sidewall,-0.39784754876653877,74.70703125
1,50.0,right mid nasal sidewall,-0.14549713891561974,109.86328125
1,50.0,philtrum,-0.04690490067893111,125.9765625
1,50.0,left upper lip,0.34301445647087386,68.84765625
1,50.0,right upper lip,0.1492640618669388,158.203125
1,50.0,left nasolabial fold,0.2807633660648748,142.08984375
1,50.0,right nasolabial fold,0.08745292740363078,76.171875
1,50.0,left temporal,0.09164695268580356,52.734375
1,50.0,right temporal,0.05084587037388844,108.3984375
1,50.0,left malar,0.1365264470317068,39.55078125
1,50.0,right malar,-0.10525458950798772,190.4296875
1,50.0,left lower cheek,0.24107101562058866,64.453125
1,50.0,right lower cheek,-0.014552688753894772,64.453125
1,50.0,chin,0.15371703321714975,124.51171875
1,50.0,left marionette fold,-0.10324397925361804,52.734375
1,50.0,right marionette fold,0.04677742564143019,180.17578125
2,100.0,lower medial forehead,0.13254750991986086,136.23046875
2,100.0,left lower lateral forehead,0.7912785005832146,58.59375
2,100.0,right lower lateral forehead,-0.4670112394784306,57.12890625
2,100.0,glabella,0.3402100514486284,55.6640625
2,100.0,upper nasal dorsum,0.17425316757017248,92.28515625
2,100.0,lower nasal dorsum,-0.3062535320640541,55.6640625
2,100.0,soft triangle,-0.12271480338374079,61.5234375
2,100.0,left ala,-0.014676319019212672,57.12890625
2,100.0,right ala,-0.8171402580321985,193.359375
2,100.0,nasal tip,-0.4059447626672968,62.98828125
2,100.0,left lower nasal sidewall,-0.051727532987517984,175.78125
2,100.0,right lower nasal sidewall,-0.3924111090885059,82.03125
2,100.0,left mid nasal sidewall,-0.4516882779348542,74.70703125
2,100.0,right mid nasal sidewall,0.6928128156569183,109.86328125
2,100.0,philtrum,-0.8948488094790061,125.9765625
2,100.0,left upper lip,-0.3241396079935131,68.84765625
2,100.0,right upper lip,-0.23600432893108256,158.203125
2,100.0,left nasolabial fold,0.02181978108786698,142.08984375
2,100.0,right nasolabial fold,-0.43620985084866515,76.171875
2,100.0,left temporal,0.08046224719362549,52.734375
2,100.0,right temporal,-0.033936556500991234,108.3984375
2,100.0,left malar,-0.7740547541978007,39.55078125
2,100.0,right malar,-0.026586702044088577,190.4296875
2,100.0,left lower cheek,-0.48465211611409065,64.453125
2,100.0,right lower cheek,0.10349479471235828,64.453125
2,100.0,chin,-0.0671230291168692,124.51171875
2,100.0,left marionette fold,-0.18913742057167357,52.734375
2,100.0,right marionette fold,0.15697472607082982,180.17578125
3,150.0,lower medial forehead,0.21014691092554005,136.23046875
3,150.0,left lower lateral forehead,1.4496828467380072,58.59375
3,150.0,right lower lateral forehead,-0.7242853323122322,57.12890625
3,150.0,glabella,0.6259645866548292,55.6640625
3,150.0,upper nasal dorsum,0.23836293659763774,92.28515625
3,150.0,lower nasal dorsum,-0.45593877225720636,55.6640625
3,150.0,soft triangle,-0.1822329644470509,61.5234375
3,150.0,left ala,-0.21429867485929047,57.12890625
3,150.0,right ala,-1.4526613574738434,193.359375
3,150.0,nasal tip,-0.6779712076670007,62.98828125
3,150.0,left lower nasal sidewall,-0.19176283320175122,175.78125
3,150.0,right lower nasal sidewall,-0.4496373735046628,82.03125
3,150.0,left mid nasal sidewall,-0.48185967801278157,74.70703125
3,150.0,right mid nasal sidewall,1.4767909814211697,109.86328125
3,150.0,philtrum,-1.6748704153795642,125.9765625
3,150.0,left upper lip,-0.9088721752250833,68.84765625
3,150.0,right upper lip,-0.5528767370982991,158.203125
3,150.0,left nasolabial fold,-0.22885834163245167,142.08984375
3,150.0,right nasolabial fold,-0.9081511303253612,76.171875
3,150.0,left temporal,0.0910471273687034,52.734375
3,150.0,right temporal,-0.12238785724969742,108.3984375
3,150.0,left malar,-1.6004892475190202,39.55078125
3,150.0,right malar,0.03430250716086745,190.4296875
3,150.0,left lower cheek,-1.117572269025392,64.453125
3,150.0,right lower cheek,0.22255645297110105,64.453125
3,150.0,chin,-0.2662608160102186,124.51171875
3,150.0,left marionette fold,-0.2872444260753871,52.734375
3,150.0,right marionette fold,0.23552339564240346,180.17578125
4,200.0,lower medial forehead,0.2486175971911896,136.23046875
4,200.0,left lower lateral forehead,1.9402003980917595,58.59375
4,200.0,right lower lateral forehead,-0.9330619039686233,57.12890625
4,200.0,glabella,0.836972705001039,55.6640625
4,200.0,upper nasal dorsum,0.24220110026426958,92.28515625
4,200.0,lower nasal dorsum,-0.5876244055907573,55.6640625
4,200.0,soft triangle,-0.27181048572326155,61.5234375
4,200.0,left ala,-0.3770877118497647,57.12890625
4,200.0,right ala,-1.9082556157291037,193.359375
4,200.0,nasal tip,-0.9316516087102316,62.98828125
4,200.0,left lower nasal sidewall,-0.3755304969605286,175.78125
4,200.0,right lower nasal sidewall,-0.4473952608181074,82.03125
4,200.0,left mid nasal sidewall,-0.47265248957026007,74.70703125
4,200.0,right mid nasal sidewall,2.153562390057627,109.86328125
4,200.0,philtrum,-2.3286970644225864,125.9765625
4,200.0,left upper lip,-1.341747328088899,68.84765625
4,200.0,right upper lip,-0.7430639034238923,158.203125
4,200.0,left nasolabial fold,-0.462188829937559,142.08984375
4,200.0,right nasolabial fold,-1.284600743455765,76.171875
4,200.0,left temporal,0.14311048396678983,52.734375
4,200.0,right temporal,-0.21563923103308644,108.3984375
4,200.0,left malar,-2.270083348242036,39.55078125
4,200.0,right malar,0.0634878907347375,190.4296875
4,200.0,left lower cheek,-1.5790650685666991,64.453125
4,200.0,right lower cheek,0.3398594112398715,64.453125
4,200.0,chin,-0.4228045896365379,124.51171875
4,200.0,left marionette fold,-0.4052734685693428,52.734375
4,200.0,right marionette fold,0.25763385350753976,180.17578125
5,250.0,lower medial forehead,0.24264595743384992,136.23046875
5,250.0,left lower lateral forehead,2.215748234827226,58.59375
5,250.0,right lower lateral forehead,-1.0805926174205946,57.12890625
5,250.0,glabella,0.9525273408570443,55.6640625
5,250.0,upper nasal dorsum,0.17273067736859765,92.28515625
5,250.0,lower nasal dorsum,-0.6926731517238008,55.6640625
5,250.0,soft triangle,-0.40405858984728976,61.5234375
5,250.0,left ala,-0.4918563746802735,57.12890625
5,250.0,right ala,-2.130322368618652,193.359375
5,250.0,nasal tip,-1.1651922992331059,62.98828125
5,250.0,left lower nasal sidewall,-0.6181700007545684,175.78125
5,250.0,right lower nasal sidewall,-0.3775855910923019,82.03125
5,250.0,left mid nasal sidewall,-0.4211456863577973,74.70703125
5,250.0,right mid nasal sidewall,2.6737356592008124,109.86328125
5,250.0,philtrum,-2.8160821521965618,125.9765625
5,250.0,left upper lip,-1.5813177375226537,68.84765625
5,250.0,right upper lip,-0.7714227368761201,158.203125
5,250.0,left nasolabial fold,-0.6714521841230959,142.08984375
5,250.0,right nasolabial fold,-1.5391828147393398,76.171875
5,250.0,left temporal,0.2525787753696317,52.734375
5,250.0,right temporal,-0.30995061681691244,108.3984375
5,250.0,left malar,-2.7327179236482384,39.55078125
5,250.0,right malar,0.05407871617652404,190.4296875
5,250.0,left lower cheek,-1.8203980513615714,64.453125
5,250.0,right lower cheek,0.4474368788484003,64.453125
5,250.0,chin,-0.5192156864566895,124.51171875
5,250.0,left marionette fold,-0.5424221097479239,52.734375
5,250.0,right marionette fold,0.2106908041515319,180.17578125
6,300.0,lower medial forehead,0.1992705970028248,136.23046875
6,300.0,left lower lateral forehead,2.264845540561601,58.59375
6,300.0,right lower lateral forehead,-1.16424281425626,57.12890625
6,300.0,glabella,0.9682617252816023,55.6640625
6,300.0,upper nasal dorsum,0.032948671210162005,92.28515625
6,300.0,lower nasal dorsum,-0.7644734517499097,55.6640625
6,300.0,soft triangle,-0.5870822457436565,61.5234375
6,300.0,left ala,-0.5541103948214542,57.12890625
6,300.0,right ala,-2.1019219456403127,193.359375
6,300.0,nasal tip,-1.381721620527866,62.98828125
6,300.0,left lower nasal sidewall,-0.9266611149891081,175.78125
6,300.0,right lower nasal sidewall,-0.2521963908470918,82.03125
