frame,time,ROI,BVP,BPM
1,50.0,lower medial forehead,0.031611959433449105,152.34375
1,50.0,left lower lateral forehead,0.006310898322484059,43.9453125
1,50.0,right lower lateral forehead,0.027690807599900797,60.05859375
1,50.0,glabella,-0.0015963847907322203,52.734375
1,50.0,upper nasal dorsum,-0.010633152172692069,55.6640625
1,50.0,lower nasal dorsum,0.04140702605484785,58.59375
1,50.0,soft triangle,0.03389550305645825,54.19921875
1,50.0,left ala,-0.02745796806404271,55.6640625
1,50.0,right ala,0.04030298663480636,46.875
1,50.0,nasal tip,0.045515922624233554,61.5234375
1,50.0,left lower nasal sidewall,-0.021344390990357107,175.78125
1,50.0,right lower nasal sidewall,0.04635726751846247,82.03125
1,50.0,left mid nasal sidewall,0.07546039543140359,76.171875
1,50.0,right mid nasal sidewall,0.02710893137940102,95.21484375
1,50.0,philtrum,-0.05090192411007862,42.48046875
1,50.0,left upper lip,-0.10816660574459329,41.015625
1,50.0,right upper lip,-0.016492156383047112,153.80859375
1,50.0,left nasolabial fold,-0.11848584615772462,41.015625
1,50.0,right nasolabial fold,-0.05102351948041004,90.8203125
1,50.0,left temporal,-0.05696866927203227,52.734375
1,50.0,right temporal,-0.0005263065665895637,108.3984375
1,50.0,left malar,-0.04647915242368076,39.55078125
1,50.0,right malar,0.019459092119898384,77.63671875
1,50.0,left lower cheek,-0.0742227113892214,77.63671875
1,50.0,right lower cheek,-0.008866600285919152,62.98828125
1,50.0,chin,-0.036784996474654316,123.046875
1,50.0,left marionette fold,-0.003089028717013532,46.875
1,50.0,right marionette fold,-0.005149663205091734,64.453125
2,100.0,lower medial forehead,-0.03929425931663111,152.34375
2,100.0,left lower lateral forehead,-0.1931107047477232,43.9453125
2,100.0,right lower lateral forehead,0.04863553180946244,60.05859375
2,100.0,glabella,-0.08922653732811371,52.734375
2,100.0,upper nasal dorsum,-0.07010061116729434,55.6640625
2,100.0,lower nasal dorsum,0.06944119087710528,58.59375
2,100.0,soft triangle,0.043357408001368995,54.19921875
2,100.0,left ala,0.0022146022966775254,55.6640625
2,100.0,right ala,0.09820660084498649,46.875
2,100.0,nasal tip,0.0955240346861765,61.5234375
2,100.0,left lower nasal sidewall,-0.08790727433822614,175.78125
2,100.0,right lower nasal sidewall,0.009973890310042803,82.03125
2,100.0,left mid nasal sidewall,0.08230270433778514,76.171875
2,100.0,right mid nasal sidewall,-0.15746509366579983,95.21484375
2,100.0,philtrum,0.10726678600721223,42.48046875
2,100.0,left upper lip,0.42037126543181585,41.015625
2,100.0,right upper lip,-0.09372780540162652,153.80859375
2,100.0,left nasolabial fold,0.03397696341585788,41.015625
2,100.0,right nasolabial fold,0.08699861525860576,90.8203125
2,100.0,left temporal,0.045388633529665205,52.734375
2,100.0,right temporal,0.011812004817635623,108.3984375
2,100.0,left malar,0.21464346896809575,39.55078125
2,100.0,right malar,-0.041651749376545213,77.63671875
2,100.0,left lower cheek,0.16333620585338038,77.63671875
2,100.0,right lower cheek,-0.02630792286185977,62.98828125
2,100.0,chin,0.02804364483843653,123.046875
2,100.0,left marionette fold,0.05406186101565696,46.875
2,100.0,right marionette fold,-0.022052768410670043,64.453125
3,150.0,lower medial forehead,-0.10071167920794132,152.34375
3,150.0,left lower lateral forehead,-0.37000931288090394,43.9453125
3,150.0,right lower lateral forehead,0.06879500890163544,60.05859375
3,150.0,glabella,-0.1669123792341693,52.734375
3,150.0,upper nasal dorsum,-0.11843079210651168,55.6640625
3,150.0,lower nasal dorsum,0.09661500145082576,58.59375
3,150.0,soft triangle,0.05525970079267203,54.19921875
3,150.0,left ala,0.033824626414452094,55.6640625
