frame,time,ROI,BVP,BPM
1,50.0,lower medial forehead,0.030947194779688658,152.34375
1,50.0,left lower lateral forehead,0.005409813405044986,45.41015625
1,50.0,right lower lateral forehead,0.028152649037842273,60.05859375
1,50.0,glabella,-0.0015944675075419438,52.734375
1,50.0,upper nasal dorsum,-0.01067486690832448,55.6640625
1,50.0,lower nasal dorsum,0.041364782366866436,58.59375
1,50.0,soft triangle,0.03379071573672479,54.19921875
1,50.0,left ala,-0.027365523431735234,55.6640625
1,50.0,right ala,0.039523803246681206,46.875
1,50.0,nasal tip,0.04538519876703115,61.5234375
1,50.0,left lower nasal sidewall,-0.021111187599076736,175.78125
1,50.0,right lower nasal sidewall,0.046734459654490766,82.03125
1,50.0,left mid nasal sidewall,0.07549213573790439,76.171875
1,50.0,right mid nasal sidewall,0.02732550610820057,95.21484375
1,50.0,philtrum,-0.05331773063689315,42.48046875
1,50.0,left upper lip,-0.11309478274326652,41.015625
1,50.0,right upper lip,-0.016629844880035792,153.80859375
1,50.0,left nasolabial fold,-0.11981344900780445,41.015625
1,50.0,right nasolabial fold,-0.049564440269596326,89.35546875
1,50.0,left temporal,-0.057491422396811015,52.734375
1,50.0,right temporal,-0.00024147562932686075,108.3984375
1,50.0,left malar,-0.04646838852116415,39.55078125
1,50.0,right malar,0.01940725086343549,77.63671875
1,50.0,left lower cheek,-0.07554194310104792,79.1015625
1,50.0,right lower cheek,-0.008791331578534047,62.98828125
1,50.0,chin,-0.03666541461736199,123.046875
1,50.0,left marionette fold,-0.0032713358791857596,46.875
1,50.0,right marionette fold,-0.004812429325819001,64.453125
2,100.0,lower medial forehead,-0.039197296567231796,152.34375
2,100.0,left lower lateral forehead,-0.19256507120133945,45.41015625
2,100.0,right lower lateral forehead,0.05142019301276909,60.05859375
2,100.0,glabella,-0.08910522869121112,52.734375
2,100.0,upper nasal dorsum,-0.07010320106996389,55.6640625
2,100.0,lower nasal dorsum,0.06891084292464833,58.59375
2,100.0,soft triangle,0.04361708549415478,54.19921875
2,100.0,left ala,0.0024214694715504704,55.6640625
2,100.0,right ala,0.10130934437400038,46.875
2,100.0,nasal tip,0.09440140006067126,61.5234375
2,100.0,left lower nasal sidewall,-0.08364298529475098,175.78125
2,100.0,right lower nasal sidewall,0.01213828411486299,82.03125
2,100.0,left mid nasal sidewall,0.08271755932950306,76.171875
2,100.0,right mid nasal sidewall,-0.15671042870675891,95.21484375
2,100.0,philtrum,0.1037772498369165,42.48046875
2,100.0,left upper lip,0.4689168147745822,41.015625
2,100.0,right upper lip,-0.09255543273640669,153.80859375
2,100.0,left nasolabial fold,0.0359028604334882,41.015625
2,100.0,right nasolabial fold,0.08819586611578409,89.35546875
2,100.0,left temporal,0.0466008008379714,52.734375
2,100.0,right temporal,0.01195274953593547,108.3984375
2,100.0,left malar,0.21340440438361422,39.55078125
2,100.0,right malar,-0.04226358424325189,77.63671875
2,100.0,left lower cheek,0.1605958263089634,79.1015625
2,100.0,right lower cheek,-0.02606084562520124,62.98828125
2,100.0,chin,0.027293065247632996,123.046875
2,100.0,left marionette fold,0.054794063712569084,46.875
2,100.0,right marionette fold,-0.019841982932837395,64.453125
3,150.0,lower medial forehead,-0.09991474828566196,152.34375
3,150.0,left lower lateral forehead,-0.3681283039838584,45.41015625
3,150.0,right lower lateral forehead,0.07368662836627775,60.05859375
3,150.0,glabella,-0.16667903454488858,52.734375
3,150.0,upper nasal dorsum,-0.11838965709973674,55.6640625
3,150.0,lower nasal dorsum,0.09566333642374801,58.59375
3,150.0,soft triangle,0.055881445722110276,54.19921875
3,150.0,left ala,0.034216004696398225,55.6640625
3,150.0,right ala,0.15214925196328813,46.875
3,150.0,nasal tip,0.1375982630098264,61.5234375
3,150.0,left lower nasal sidewall,-0.13153690931517517,175.78125
3,150.0,right lower nasal sidewall,-0.022969158385563817,82.03125
3,150.0,left mid nasal sidewall,0.08482639583807888,76.171875
3,150.0,right mid nasal sidewall,-0.32568902702399805,95.21484375
3,150.0,philtrum,0.24668999034909747,42.48046875
3,150.0,left upper lip,0.9877411534352626,41.015625
3,150.0,right upper lip,-0.17126458881085543,153.80859375
3,150.0,left nasolabial fold,0.17488442559791906,41.015625
3,150.0,right nasolabial fold,0.21087444549729517,89.35546875
3,150.0,left temporal,0.1323566849185117,52.734375
3,150.0,right temporal,0.027320483576579176,108.3984375
3,150.0,left malar,0.4457861364881188,39.55078125
3,150.0,right malar,-0.09589558125964728,77.63671875
3,150.0,left lower cheek,0.3686522711484143,79.1015625
3,150.0,right lower cheek,-0.04593357494528212,62.98828125
3,150.0,chin,0.08706703046625017,123.046875
3,150.0,left marionette fold,0.11029505032294115,46.875
3,150.0,right marionette fold,-0.02870350295789601,64.453125
4,200.0,lower medial forehead,-0.1440234662631932,152.34375
4,200.0,left lower lateral forehead,-0.5026925924482946,45.41015625
4,200.0,right lower lateral forehead,0.09450016433118767,60.05859375
4,200.0,glabella,-0.22602039531399193,52.734375
4,200.0,upper nasal dorsum,-0.1468446017999631,55.6640625
4,200.0,lower nasal dorsum,0.12061095938139933,58.59375
4,200.0,soft triangle,0.07331442439486413,54.19921875
4,200.0,left ala,0.06958370712638677,55.6640625
4,200.0,right ala,0.18238438210284386,46.875
4,200.0,nasal tip,0.17145139581421417,61.5234375
4,200.0,left lower nasal sidewall,-0.15284112880665782,175.78125
4,200.0,right lower nasal sidewall,-0.058335901306383,82.03125
4,200.0,left mid nasal sidewall,0.07805992370974253,76.171875
