frame,time,ROI,R,G,B
1,50.0,lower medial forehead,102.54983388704319,76.39036544850498,62.35049833887043
1,50.0,left lower lateral forehead,161.07649513212795,119.85118219749653,91.6105702364395
1,50.0,right lower lateral forehead,118.18507462686567,87.00696517412935,70.25273631840795
1,50.0,glabella,142.53696498054475,104.56809338521401,86.08430609597924
1,50.0,upper nasal dorsum,147.3240997229917,105.78947368421052,85.08587257617728
1,50.0,lower nasal dorsum,225.07843137254903,169.1764705882353,139.26797385620915
1,50.0,soft triangle,188.47852760736197,134.26993865030676,114.41104294478528
1,50.0,left ala,205.2,148.9,123.32
1,50.0,right ala,197.11016949152543,139.5677966101695,118.08474576271186
1,50.0,nasal tip,223.46464646464648,165.76767676767676,138.5151515151515
1,50.0,left lower nasal sidewall,201.11320754716982,147.73584905660377,118.58490566037736
1,50.0,right lower nasal sidewall,187.5448275862069,135.88275862068966,113.41379310344827
1,50.0,left mid nasal sidewall,176.0,126.925,99.075
1,50.0,right mid nasal sidewall,175.02830188679246,126.61320754716981,103.80188679245283
1,50.0,philtrum,132.48743718592965,86.5427135678392,72.48241206030151
1,50.0,left upper lip,147.38582677165354,100.76377952755905,80.60629921259843
1,50.0,right upper lip,158.36040609137055,112.85786802030456,93.5228426395939
1,50.0,left nasolabial fold,174.68125,126.2125,103.2875
1,50.0,right nasolabial fold,155.84586466165413,112.6390977443609,92.11278195488721
1,50.0,left temporal,187.20289855072463,144.34057971014494,111.44927536231884
1,50.0,right temporal,146.7992327365729,107.54092071611254,82.63810741687979
1,50.0,left malar,189.52729693741676,141.41278295605858,113.57390146471371
1,50.0,right malar,169.39784053156146,123.67524916943522,99.60631229235881
1,50.0,left lower cheek,169.11882998171848,126.02925045703839,99.42595978062157
1,50.0,right lower cheek,156.70304975922954,114.96869983948636,90.9406099518459
1,50.0,chin,123.37329434697855,86.61208576998051,67.10721247563353
1,50.0,left marionette fold,135.5177304964539,99.29078014184397,76.19503546099291
1,50.0,right marionette fold,120.09867172675521,85.09677419354838,66.4819734345351
2,100.0,lower medial forehead,98.23333333333333,73.12,60.21333333333333
